week,game_id,playoff,home_team,home_score,away_score,away_team,favorite,spread,over_under
16,239,FALSE,Arizona,16,19,Tampa Bay,TB,-7.5,40.5
16,240,FALSE,Indianapolis,3,20,Los Angeles (C),LAC,-4,45.5
17,241,FALSE,Tennessee,13,27,Dallas,DAL,-12.5,39.5
17,242,FALSE,Atlanta,20,19,Arizona,ATL,-6,41
17,243,FALSE,Detroit,41,10,Chicago,DET,-6,52.5
17,244,FALSE,Houston,3,31,Jacksonville,JAX,-3,43
17,245,FALSE,Kansas City,27,24,Denver,KC,-12.5,45
17,246,FALSE,New England,23,21,Miami,NE,-2.5,41
17,247,FALSE,New York (G),38,10,Indianapolis,NYG,-5.5,39
17,248,FALSE,Philadelphia,10,20,New Orleans,PHI,-5.5,41.5
17,249,FALSE,Tampa Bay,30,24,Carolina,TB,-3.5,40.5
17,250,FALSE,Washington,10,24,Cleveland,WAS,-2,40.5
17,251,FALSE,Las Vegas,34,37,San Francisco,SF,-9.5,42.5
17,252,FALSE,Seattle,23,6,New York (J),NYJ,-1.5,42.5
17,253,FALSE,Green Bay,41,17,Minnesota,GB,-3,47.5
17,254,FALSE,Los Angeles (C),31,10,Los Angeles (R),LAC,-6.5,41.5
17,255,FALSE,Baltimore,13,16,Pittsburgh,BAL,-2.5,35
17,256,FALSE,Cincinnati,NULL,NULL,Buffalo,CIN,NULL,NULL
18,257,FALSE,Las Vegas,13,31,Kansas City,KC,-9,52.5
18,258,FALSE,Jacksonville,20,16,Tennessee,JAX,-6.5,40
18,259,FALSE,Atlanta,30,17,Tampa Bay,ATL,-4,40.5
18,260,FALSE,Buffalo,35,23,New England,BUF,-7.5,43.5
18,261,FALSE,Chicago,13,29,Minnesota,MIN,-7,42.5
18,262,FALSE,Cincinnati,27,16,Baltimore,CIN,-9,39.5
18,263,FALSE,Indianapolis,31,32,Houston,IND,-2.5,37.5
18,264,FALSE,Miami,11,6,New York (J),MIA,-3.5,37
18,265,FALSE,New Orleans,7,10,Carolina,NO,-3.5,41.5
18,266,FALSE,Pittsburgh,28,14,Cleveland,PIT,-2.5,40
18,267,FALSE,Denver,31,28,Los Angeles (C),DEN,-3,39.5
18,268,FALSE,Philadelphia,22,16,New York (G),PHI,-16,42
18,269,FALSE,San Francisco,38,13,Arizona,SF,-14,39.5
18,270,FALSE,Seattle,19,16,Los Angeles (R),SEA,-6,41.5
18,271,FALSE,Washington,26,6,Dallas,DAL,-7,40
18,272,FALSE,Green Bay,16,20,Detroit,GB,-5,49
WC,273,TRUE,San Francisco,41,23,Seattle,SF,-9.5,42
WC,274,TRUE,Jacksonville,31,30,Los Angeles (C),LAC,-2.5,46.5
WC,275,TRUE,Buffalo,34,31,Miami,BUF,-14,44.5
WC,276,TRUE,Minnesota,24,31,New York (G),MIN,-2.5,48
WC,277,TRUE,Cincinnati,24,17,Baltimore,CIN,-8,40
WC,278,TRUE,Tampa Bay,14,31,Dallas,DAL,-2.5,45.5
DIV,279,TRUE,Kansas City,27,20,Jacksonville,KC,-9.5,52
DIV,280,TRUE,Philadelphia,38,7,New York (G),PHI,-8,48
DIV,281,TRUE,Buffalo,10,27,Cincinnati,BUF,-6,48.5
DIV,282,TRUE,San Francisco,19,12,Dallas,SF,-3.5,46.5
NFCCG,283,TRUE,Philadelphia,31,7,San Francisco,PHI,-2.5,45.5
AFCCG,284,TRUE,Kansas City,23,20,Cincinnati,KC,-1.5,48
SB,285,TRUE,Philadelphia,35,38,Kansas City,PHI,-1,51
